Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.24 | ppl   188.55
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.15 | ppl   171.99
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.14 | ppl   170.37
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.16 | ppl   174.05
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 79.41s | valid loss  5.27 | valid ppl   195.38
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.20 | ppl   181.80
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.20 | ppl   181.86
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.25 | ppl   191.00
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.17 | ppl   175.70
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.11 | ppl   166.00
| epoch   3 |  3000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.18 | ppl   177.00
| epoch   3 |  3500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.19 | ppl   179.41
| epoch   3 |  4000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.19 | ppl   180.02
| epoch   3 |  4500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.20 | ppl   181.82
| epoch   3 |  5000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.20 | ppl   180.87
| epoch   3 |  5500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.19 | ppl   178.98
| epoch   3 |  6000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.21 | ppl   182.35
| epoch   3 |  6500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.15 | ppl   173.03
| epoch   3 |  7000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.16 | ppl   174.23
| epoch   3 |  7500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.12 | ppl   167.95
| epoch   3 |  8000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.20 | ppl   181.44
| epoch   3 |  8500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.13 | ppl   168.90
| epoch   3 |  9000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.09 | ppl   161.58
| epoch   3 |  9500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.09 | ppl   162.96
| epoch   3 | 10000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.09 | ppl   161.97
| epoch   3 | 10500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.13 | ppl   169.24
| epoch   3 | 11000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.14 | ppl   171.54
| epoch   3 | 11500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.11 | ppl   165.19
| epoch   3 | 12000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   163.46
| epoch   3 | 12500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.06 | ppl   158.27
| epoch   3 | 13000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.08 | ppl   160.51
| epoch   3 | 13500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   164.41
| epoch   3 | 14000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.13 | ppl   168.37
| epoch   3 | 14500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.04 | ppl   155.22
| epoch   3 | 15000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.04 | ppl   155.10
| epoch   3 | 15500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.05 | ppl   156.33
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 79.39s | valid loss  5.21 | valid ppl   182.78
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.10 | ppl   164.00
| epoch   4 |  1000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   164.66
