Vocabulary Size:  27710
Total number of model parameters: 36.89M
| epoch   1 |   500/15983 batches | lr 1.00 | ms/batch  7.49 | loss  7.13 | ppl  1243.24
| epoch   1 |  1000/15983 batches | lr 1.00 | ms/batch  5.93 | loss  6.50 | ppl   662.86
| epoch   1 |  1500/15983 batches | lr 1.00 | ms/batch  5.93 | loss  6.31 | ppl   552.21
| epoch   1 |  2000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  6.10 | ppl   447.72
| epoch   1 |  2500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.93 | ppl   375.33
| epoch   1 |  3000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.95 | ppl   382.61
| epoch   1 |  3500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.91 | ppl   369.07
| epoch   1 |  4000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.90 | ppl   363.23
| epoch   1 |  4500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.86 | ppl   351.42
| epoch   1 |  5000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.83 | ppl   340.71
| epoch   1 |  5500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.77 | ppl   319.63
| epoch   1 |  6000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.76 | ppl   317.27
| epoch   1 |  6500/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.68 | ppl   294.34
| epoch   1 |  7000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.70 | ppl   299.04
| epoch   1 |  7500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.64 | ppl   280.24
| epoch   1 |  8000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.70 | ppl   297.98
| epoch   1 |  8500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.61 | ppl   272.89
| epoch   1 |  9000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.56 | ppl   260.17
| epoch   1 |  9500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.56 | ppl   260.23
| epoch   1 | 10000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.56 | ppl   260.06
| epoch   1 | 10500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.57 | ppl   262.78
| epoch   1 | 11000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.56 | ppl   260.06
| epoch   1 | 11500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.53 | ppl   251.00
| epoch   1 | 12000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.48 | ppl   240.66
| epoch   1 | 12500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.44 | ppl   231.34
| epoch   1 | 13000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.47 | ppl   238.29
| epoch   1 | 13500/15983 batches | lr 1.00 | ms/batch  5.94 | loss  5.50 | ppl   244.35
| epoch   1 | 14000/15983 batches | lr 1.00 | ms/batch  5.93 | loss  5.52 | ppl   248.84
| epoch   1 | 14500/15983 batches | lr 1.00 | ms/batch  5.93 | loss  5.41 | ppl   223.84
| epoch   1 | 15000/15983 batches | lr 1.00 | ms/batch  5.93 | loss  5.38 | ppl   217.18
| epoch   1 | 15500/15983 batches | lr 1.00 | ms/batch  5.93 | loss  5.41 | ppl   223.42
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 96.46s | valid loss  5.48 | valid ppl   240.12
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 1.00 | ms/batch  5.97 | loss  5.46 | ppl   234.81
| epoch   2 |  1000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.46 | ppl   234.53
| epoch   2 |  1500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.51 | ppl   246.50
| epoch   2 |  2000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.41 | ppl   224.32
| epoch   2 |  2500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.33 | ppl   205.78
| epoch   2 |  3000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.40 | ppl   222.35
| epoch   2 |  3500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.42 | ppl   225.49
| epoch   2 |  4000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.42 | ppl   226.07
| epoch   2 |  4500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.43 | ppl   228.11
| epoch   2 |  5000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.43 | ppl   228.09
| epoch   2 |  5500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.40 | ppl   222.35
| epoch   2 |  6000/15983 batches | lr 1.00 | ms/batch  5.90 | loss  5.41 | ppl   224.12
| epoch   2 |  6500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.36 | ppl   212.38
| epoch   2 |  7000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.38 | ppl   216.62
| epoch   2 |  7500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.33 | ppl   206.74
| epoch   2 |  8000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.41 | ppl   222.73
| epoch   2 |  8500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.33 | ppl   206.85
| epoch   2 |  9000/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.29 | ppl   197.69
| epoch   2 |  9500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.30 | ppl   200.00
| epoch   2 | 10000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.30 | ppl   201.10
| epoch   2 | 10500/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.33 | ppl   207.13
| epoch   2 | 11000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.34 | ppl   207.59
| epoch   2 | 11500/15983 batches | lr 1.00 | ms/batch  5.92 | loss  5.30 | ppl   199.86
| epoch   2 | 12000/15983 batches | lr 1.00 | ms/batch  5.91 | loss  5.27 | ppl   194.70
