Vocabulary Size:  27710
Total number of model parameters: 41.22M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch 10.74 | loss  7.86 | ppl  2588.38
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch 10.74 | loss  6.64 | ppl   767.74
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch 10.69 | loss  6.38 | ppl   589.27
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch 10.89 | loss  6.14 | ppl   464.32
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch 10.69 | loss  5.95 | ppl   384.89
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch 10.71 | loss  5.96 | ppl   389.00
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch 10.79 | loss  5.92 | ppl   373.76
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch 10.71 | loss  5.90 | ppl   366.30
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch 10.76 | loss  5.87 | ppl   354.33
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch 10.70 | loss  5.83 | ppl   341.34
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch 10.86 | loss  5.76 | ppl   318.70
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch 10.67 | loss  5.75 | ppl   314.83
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch 10.68 | loss  5.67 | ppl   291.24
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch 10.69 | loss  5.68 | ppl   293.57
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch 10.70 | loss  5.62 | ppl   274.95
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch 10.71 | loss  5.68 | ppl   292.20
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch 10.60 | loss  5.59 | ppl   267.42
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch 10.73 | loss  5.54 | ppl   254.34
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch 10.63 | loss  5.53 | ppl   251.15
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch 10.69 | loss  5.52 | ppl   250.13
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch 10.87 | loss  5.53 | ppl   252.93
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch 10.72 | loss  5.53 | ppl   251.12
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch 10.81 | loss  5.49 | ppl   242.76
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch 10.76 | loss  5.45 | ppl   232.55
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch 10.78 | loss  5.41 | ppl   223.61
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch 10.74 | loss  5.43 | ppl   227.86
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch 10.80 | loss  5.45 | ppl   233.26
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch 10.76 | loss  5.47 | ppl   238.38
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch 10.71 | loss  5.36 | ppl   213.49
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch 10.74 | loss  5.34 | ppl   208.25
