Vocabulary Size:  27710
Total number of model parameters: 28.46M
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.30 | ppl   200.45
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.21 | ppl   182.85
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.19 | ppl   180.16
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.22 | ppl   184.58
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 73.99s | valid loss  5.33 | valid ppl   207.25
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.27 | ppl   193.86
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.27 | ppl   194.58
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.32 | ppl   204.54
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.24 | ppl   188.00
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   176.61
| epoch   3 |  3000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.24 | ppl   189.03
| epoch   3 |  3500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.26 | ppl   192.24
| epoch   3 |  4000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.26 | ppl   192.99
| epoch   3 |  4500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.27 | ppl   194.13
| epoch   3 |  5000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.26 | ppl   192.97
| epoch   3 |  5500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.25 | ppl   191.36
| epoch   3 |  6000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.27 | ppl   195.15
| epoch   3 |  6500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.22 | ppl   184.31
| epoch   3 |  7000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.23 | ppl   186.10
| epoch   3 |  7500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.19 | ppl   179.56
| epoch   3 |  8000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.27 | ppl   193.87
| epoch   3 |  8500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.20 | ppl   180.73
| epoch   3 |  9000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.15 | ppl   172.78
| epoch   3 |  9500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.16 | ppl   174.55
| epoch   3 | 10000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.16 | ppl   173.80
| epoch   3 | 10500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.20 | ppl   181.76
| epoch   3 | 11000/15983 batches | lr 2.00 | ms/batch  4.60 | loss  5.22 | ppl   184.41
| epoch   3 | 11500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   176.56
| epoch   3 | 12000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.16 | ppl   174.08
| epoch   3 | 12500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.13 | ppl   168.89
| epoch   3 | 13000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.15 | ppl   171.84
| epoch   3 | 13500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   176.15
| epoch   3 | 14000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.20 | ppl   180.41
| epoch   3 | 14500/15983 batches | lr 2.00 | ms/batch  4.66 | loss  5.11 | ppl   165.44
| epoch   3 | 15000/15983 batches | lr 2.00 | ms/batch  4.68 | loss  5.10 | ppl   164.50
| epoch   3 | 15500/15983 batches | lr 2.00 | ms/batch  4.61 | loss  5.12 | ppl   167.06
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 73.94s | valid loss  5.25 | valid ppl   190.91
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 2.00 | ms/batch  4.61 | loss  5.17 | ppl   175.94
| epoch   4 |  1000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.18 | ppl   176.84
| epoch   4 |  1500/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.22 | ppl   185.06
| epoch   4 |  2000/15983 batches | lr 2.00 | ms/batch  4.58 | loss  5.14 | ppl   170.71
| epoch   4 |  2500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.09 | ppl   161.98
| epoch   4 |  3000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.15 | ppl   173.07
| epoch   4 |  3500/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   176.01
| epoch   4 |  4000/15983 batches | lr 2.00 | ms/batch  4.59 | loss  5.17 | ppl   175.92
