Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   1 |   500/15983 batches | lr 2.00 | ms/batch  5.04 | loss 158.89 | ppl 1011642770781767742318167728632577229214677646250397205923824928817152.00
| epoch   1 |  1000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  6.38 | ppl   587.72
| epoch   1 |  1500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  6.16 | ppl   473.57
| epoch   1 |  2000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.94 | ppl   380.49
| epoch   1 |  2500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.76 | ppl   318.93
| epoch   1 |  3000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.78 | ppl   322.92
| epoch   1 |  3500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.74 | ppl   310.96
| epoch   1 |  4000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.72 | ppl   304.34
| epoch   1 |  4500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.68 | ppl   293.72
| epoch   1 |  5000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.64 | ppl   281.00
| epoch   1 |  5500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.58 | ppl   264.83
| epoch   1 |  6000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.57 | ppl   262.82
| epoch   1 |  6500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.50 | ppl   244.42
| epoch   1 |  7000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.50 | ppl   244.86
| epoch   1 |  7500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.44 | ppl   229.66
| epoch   1 |  8000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.50 | ppl   245.90
| epoch   1 |  8500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.42 | ppl   225.26
| epoch   1 |  9000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.37 | ppl   214.38
| epoch   1 |  9500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.35 | ppl   210.91
| epoch   1 | 10000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.34 | ppl   209.26
| epoch   1 | 10500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.37 | ppl   215.03
| epoch   1 | 11000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.37 | ppl   214.92
| epoch   1 | 11500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.33 | ppl   206.69
| epoch   1 | 12000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.30 | ppl   199.78
| epoch   1 | 12500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.26 | ppl   192.55
| epoch   1 | 13000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.27 | ppl   194.36
| epoch   1 | 13500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.30 | ppl   199.61
| epoch   1 | 14000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.31 | ppl   202.85
| epoch   1 | 14500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.22 | ppl   184.68
| epoch   1 | 15000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.20 | ppl   182.01
| epoch   1 | 15500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.22 | ppl   185.48
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 79.74s | valid loss  5.36 | valid ppl   213.28
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.29 | ppl   197.40
| epoch   2 |  1000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.25 | ppl   191.50
| epoch   2 |  1500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.30 | ppl   200.07
| epoch   2 |  2000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.21 | ppl   182.91
| epoch   2 |  2500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.15 | ppl   171.86
| epoch   2 |  3000/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.21 | ppl   183.28
| epoch   2 |  3500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.22 | ppl   185.28
| epoch   2 |  4000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.22 | ppl   185.43
| epoch   2 |  4500/15983 batches | lr 2.00 | ms/batch  4.96 | loss  5.22 | ppl   185.33
| epoch   2 |  5000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.22 | ppl   184.07
| epoch   2 |  5500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.20 | ppl   181.38
| epoch   2 |  6000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.22 | ppl   184.73
| epoch   2 |  6500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.16 | ppl   174.52
| epoch   2 |  7000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.17 | ppl   175.55
| epoch   2 |  7500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.13 | ppl   168.29
| epoch   2 |  8000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.20 | ppl   182.13
| epoch   2 |  8500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.13 | ppl   169.73
| epoch   2 |  9000/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.09 | ppl   162.41
| epoch   2 |  9500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.09 | ppl   163.05
| epoch   2 | 10000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.08 | ppl   161.42
| epoch   2 | 10500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.13 | ppl   169.36
| epoch   2 | 11000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.15 | ppl   171.94
| epoch   2 | 11500/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.10 | ppl   164.77
| epoch   2 | 12000/15983 batches | lr 2.00 | ms/batch  4.94 | loss  5.09 | ppl   162.81
| epoch   2 | 12500/15983 batches | lr 2.00 | ms/batch  4.95 | loss  5.06 | ppl   157.29
