Vocabulary Size:  27710
Total number of model parameters: 18.10M
| epoch   2 | 14000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.12 | ppl   166.84
| epoch   2 | 14500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.04 | ppl   154.41
| epoch   2 | 15000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.04 | ppl   154.20
| epoch   2 | 15500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.05 | ppl   155.88
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 79.07s | valid loss  5.26 | valid ppl   192.14
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 2.00 | ms/batch  4.92 | loss  5.09 | ppl   161.96
| epoch   3 |  1000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.09 | ppl   162.23
| epoch   3 |  1500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.12 | ppl   167.80
| epoch   3 |  2000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.05 | ppl   155.55
| epoch   3 |  2500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.00 | ppl   148.87
| epoch   3 |  3000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.06 | ppl   157.86
| epoch   3 |  3500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.07 | ppl   159.76
| epoch   3 |  4000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.07 | ppl   159.80
| epoch   3 |  4500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.08 | ppl   160.21
| epoch   3 |  5000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.08 | ppl   160.46
| epoch   3 |  5500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.07 | ppl   159.44
| epoch   3 |  6000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.09 | ppl   162.52
| epoch   3 |  6500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.04 | ppl   154.02
| epoch   3 |  7000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.04 | ppl   154.63
| epoch   3 |  7500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.01 | ppl   149.52
| epoch   3 |  8000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.08 | ppl   161.25
| epoch   3 |  8500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.02 | ppl   151.12
| epoch   3 |  9000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.98 | ppl   144.97
| epoch   3 |  9500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.98 | ppl   145.98
| epoch   3 | 10000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.97 | ppl   144.46
| epoch   3 | 10500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.02 | ppl   152.09
| epoch   3 | 11000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  5.04 | ppl   154.13
| epoch   3 | 11500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  5.00 | ppl   148.40
| epoch   3 | 12000/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.99 | ppl   147.64
| epoch   3 | 12500/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.96 | ppl   142.04
| epoch   3 | 13000/15983 batches | lr 2.00 | ms/batch  4.90 | loss  4.97 | ppl   144.27
| epoch   3 | 13500/15983 batches | lr 2.00 | ms/batch  4.91 | loss  4.99 | ppl   147.41
