Vocabulary Size:  27710
Total number of model parameters: 11.59M
| epoch   1 |   500/15983 batches | lr 7.00 | ms/batch 13.93 | loss  7.05 | ppl  1149.12
| epoch   1 |  1000/15983 batches | lr 7.00 | ms/batch 13.19 | loss  6.20 | ppl   491.34
| epoch   1 |  1500/15983 batches | lr 7.00 | ms/batch 13.74 | loss  5.99 | ppl   397.48
| epoch   1 |  2000/15983 batches | lr 7.00 | ms/batch 13.45 | loss  5.76 | ppl   318.64
| epoch   1 |  2500/15983 batches | lr 7.00 | ms/batch 13.61 | loss  5.62 | ppl   274.92
| epoch   1 |  3000/15983 batches | lr 7.00 | ms/batch 13.36 | loss  5.62 | ppl   275.15
| epoch   1 |  3500/15983 batches | lr 7.00 | ms/batch 13.49 | loss  5.58 | ppl   264.56
| epoch   1 |  4000/15983 batches | lr 7.00 | ms/batch 13.48 | loss  5.55 | ppl   258.35
| epoch   1 |  4500/15983 batches | lr 7.00 | ms/batch 13.42 | loss  5.52 | ppl   249.84
| epoch   1 |  5000/15983 batches | lr 7.00 | ms/batch 13.93 | loss  5.49 | ppl   241.50
| epoch   1 |  5500/15983 batches | lr 7.00 | ms/batch 13.14 | loss  5.43 | ppl   229.26
| epoch   1 |  6000/15983 batches | lr 7.00 | ms/batch 13.33 | loss  5.44 | ppl   230.07
| epoch   1 |  6500/15983 batches | lr 7.00 | ms/batch 13.43 | loss  5.38 | ppl   215.97
| epoch   1 |  7000/15983 batches | lr 7.00 | ms/batch 13.29 | loss  5.38 | ppl   216.15
| epoch   1 |  7500/15983 batches | lr 7.00 | ms/batch 13.60 | loss  5.32 | ppl   204.79
| epoch   1 |  8000/15983 batches | lr 7.00 | ms/batch 13.51 | loss  5.39 | ppl   218.63
| epoch   1 |  8500/15983 batches | lr 7.00 | ms/batch 13.45 | loss  5.31 | ppl   201.96
| epoch   1 |  9000/15983 batches | lr 7.00 | ms/batch 12.66 | loss  5.26 | ppl   191.58
| epoch   1 |  9500/15983 batches | lr 7.00 | ms/batch 12.68 | loss  5.25 | ppl   191.34
| epoch   1 | 10000/15983 batches | lr 7.00 | ms/batch 13.35 | loss  5.24 | ppl   188.14
| epoch   1 | 10500/15983 batches | lr 7.00 | ms/batch 13.59 | loss  5.27 | ppl   195.26
| epoch   1 | 11000/15983 batches | lr 7.00 | ms/batch 13.44 | loss  5.27 | ppl   193.68
| epoch   1 | 11500/15983 batches | lr 7.00 | ms/batch 12.73 | loss  5.23 | ppl   186.96
| epoch   1 | 12000/15983 batches | lr 7.00 | ms/batch 12.67 | loss  5.22 | ppl   184.61
| epoch   1 | 12500/15983 batches | lr 7.00 | ms/batch 12.66 | loss  5.17 | ppl   175.91
| epoch   1 | 13000/15983 batches | lr 7.00 | ms/batch 13.49 | loss  5.19 | ppl   179.30
| epoch   1 | 13500/15983 batches | lr 7.00 | ms/batch 13.16 | loss  5.21 | ppl   183.70
| epoch   1 | 14000/15983 batches | lr 7.00 | ms/batch 12.78 | loss  5.23 | ppl   186.38
| epoch   1 | 14500/15983 batches | lr 7.00 | ms/batch 11.73 | loss  5.15 | ppl   171.59
| epoch   1 | 15000/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.13 | ppl   169.62
| epoch   1 | 15500/15983 batches | lr 7.00 | ms/batch 13.29 | loss  5.15 | ppl   171.81
-----------------------------------------------------------------------------------------
| end of epoch   1 | time: 213.12s | valid loss  5.27 | valid ppl   193.50
-----------------------------------------------------------------------------------------
| epoch   2 |   500/15983 batches | lr 7.00 | ms/batch 13.48 | loss  5.18 | ppl   178.03
| epoch   2 |  1000/15983 batches | lr 7.00 | ms/batch 13.47 | loss  5.18 | ppl   177.50
| epoch   2 |  1500/15983 batches | lr 7.00 | ms/batch 12.62 | loss  5.20 | ppl   180.49
| epoch   2 |  2000/15983 batches | lr 7.00 | ms/batch 13.41 | loss  5.11 | ppl   166.46
| epoch   2 |  2500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.08 | ppl   160.86
| epoch   2 |  3000/15983 batches | lr 7.00 | ms/batch 13.40 | loss  5.12 | ppl   167.42
| epoch   2 |  3500/15983 batches | lr 7.00 | ms/batch 12.71 | loss  5.13 | ppl   169.09
| epoch   2 |  4000/15983 batches | lr 7.00 | ms/batch 14.08 | loss  5.13 | ppl   168.19
| epoch   2 |  4500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.13 | ppl   169.29
| epoch   2 |  5000/15983 batches | lr 7.00 | ms/batch 13.42 | loss  5.13 | ppl   169.49
| epoch   2 |  5500/15983 batches | lr 7.00 | ms/batch 12.91 | loss  5.11 | ppl   166.35
| epoch   2 |  6000/15983 batches | lr 7.00 | ms/batch 13.05 | loss  5.13 | ppl   168.94
| epoch   2 |  6500/15983 batches | lr 7.00 | ms/batch 13.41 | loss  5.08 | ppl   161.14
| epoch   2 |  7000/15983 batches | lr 7.00 | ms/batch 12.57 | loss  5.10 | ppl   163.42
| epoch   2 |  7500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.06 | ppl   157.69
| epoch   2 |  8000/15983 batches | lr 7.00 | ms/batch 13.41 | loss  5.13 | ppl   169.12
| epoch   2 |  8500/15983 batches | lr 7.00 | ms/batch 12.57 | loss  5.07 | ppl   158.89
| epoch   2 |  9000/15983 batches | lr 7.00 | ms/batch 12.86 | loss  5.03 | ppl   152.55
| epoch   2 |  9500/15983 batches | lr 7.00 | ms/batch 13.14 | loss  5.04 | ppl   154.33
| epoch   2 | 10000/15983 batches | lr 7.00 | ms/batch 12.92 | loss  5.02 | ppl   151.91
| epoch   2 | 10500/15983 batches | lr 7.00 | ms/batch 13.09 | loss  5.07 | ppl   158.84
| epoch   2 | 11000/15983 batches | lr 7.00 | ms/batch 12.57 | loss  5.07 | ppl   159.05
| epoch   2 | 11500/15983 batches | lr 7.00 | ms/batch 13.34 | loss  5.04 | ppl   154.09
| epoch   2 | 12000/15983 batches | lr 7.00 | ms/batch 13.44 | loss  5.03 | ppl   153.68
| epoch   2 | 12500/15983 batches | lr 7.00 | ms/batch 12.58 | loss  4.99 | ppl   147.22
| epoch   2 | 13000/15983 batches | lr 7.00 | ms/batch 13.42 | loss  5.02 | ppl   150.94
| epoch   2 | 13500/15983 batches | lr 7.00 | ms/batch 13.42 | loss  5.04 | ppl   154.30
| epoch   2 | 14000/15983 batches | lr 7.00 | ms/batch 12.55 | loss  5.05 | ppl   156.31
| epoch   2 | 14500/15983 batches | lr 7.00 | ms/batch 10.65 | loss  4.99 | ppl   147.28
| epoch   2 | 15000/15983 batches | lr 7.00 | ms/batch 13.02 | loss  4.98 | ppl   146.20
| epoch   2 | 15500/15983 batches | lr 7.00 | ms/batch 12.98 | loss  4.99 | ppl   146.76
-----------------------------------------------------------------------------------------
| end of epoch   2 | time: 209.79s | valid loss  5.17 | valid ppl   175.99
-----------------------------------------------------------------------------------------
| epoch   3 |   500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.03 | ppl   152.36
| epoch   3 |  1000/15983 batches | lr 7.00 | ms/batch 12.58 | loss  5.03 | ppl   153.09
| epoch   3 |  1500/15983 batches | lr 7.00 | ms/batch 12.57 | loss  5.04 | ppl   155.18
| epoch   3 |  2000/15983 batches | lr 7.00 | ms/batch 12.60 | loss  4.98 | ppl   145.13
| epoch   3 |  2500/15983 batches | lr 7.00 | ms/batch 13.19 | loss  4.96 | ppl   142.33
| epoch   3 |  3000/15983 batches | lr 7.00 | ms/batch 12.84 | loss  5.00 | ppl   147.77
| epoch   3 |  3500/15983 batches | lr 7.00 | ms/batch 13.41 | loss  5.01 | ppl   149.64
| epoch   3 |  4000/15983 batches | lr 7.00 | ms/batch 12.87 | loss  5.00 | ppl   148.35
| epoch   3 |  4500/15983 batches | lr 7.00 | ms/batch 13.13 | loss  5.01 | ppl   149.68
| epoch   3 |  5000/15983 batches | lr 7.00 | ms/batch 12.60 | loss  5.01 | ppl   150.35
| epoch   3 |  5500/15983 batches | lr 7.00 | ms/batch 12.73 | loss  5.00 | ppl   148.89
| epoch   3 |  6000/15983 batches | lr 7.00 | ms/batch 13.28 | loss  5.02 | ppl   151.25
| epoch   3 |  6500/15983 batches | lr 7.00 | ms/batch 13.41 | loss  4.98 | ppl   145.22
| epoch   3 |  7000/15983 batches | lr 7.00 | ms/batch 13.40 | loss  4.99 | ppl   146.97
| epoch   3 |  7500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  4.96 | ppl   142.42
| epoch   3 |  8000/15983 batches | lr 7.00 | ms/batch 13.41 | loss  5.03 | ppl   152.40
| epoch   3 |  8500/15983 batches | lr 7.00 | ms/batch 13.40 | loss  4.97 | ppl   144.09
| epoch   3 |  9000/15983 batches | lr 7.00 | ms/batch 13.37 | loss  4.93 | ppl   139.00
| epoch   3 |  9500/15983 batches | lr 7.00 | ms/batch 12.77 | loss  4.95 | ppl   140.80
| epoch   3 | 10000/15983 batches | lr 7.00 | ms/batch 13.24 | loss  4.93 | ppl   138.29
| epoch   3 | 10500/15983 batches | lr 7.00 | ms/batch 12.60 | loss  4.98 | ppl   144.98
| epoch   3 | 11000/15983 batches | lr 7.00 | ms/batch 13.42 | loss  4.98 | ppl   145.23
| epoch   3 | 11500/15983 batches | lr 7.00 | ms/batch 13.38 | loss  4.95 | ppl   141.19
| epoch   3 | 12000/15983 batches | lr 7.00 | ms/batch 12.84 | loss  4.95 | ppl   141.20
| epoch   3 | 12500/15983 batches | lr 7.00 | ms/batch 13.45 | loss  4.91 | ppl   135.65
| epoch   3 | 13000/15983 batches | lr 7.00 | ms/batch 13.94 | loss  4.93 | ppl   138.68
| epoch   3 | 13500/15983 batches | lr 7.00 | ms/batch 13.09 | loss  4.96 | ppl   141.92
| epoch   3 | 14000/15983 batches | lr 7.00 | ms/batch 11.73 | loss  4.97 | ppl   144.07
| epoch   3 | 14500/15983 batches | lr 7.00 | ms/batch  8.38 | loss  4.92 | ppl   137.35
| epoch   3 | 15000/15983 batches | lr 7.00 | ms/batch  6.72 | loss  4.91 | ppl   135.96
| epoch   3 | 15500/15983 batches | lr 7.00 | ms/batch  4.00 | loss  4.91 | ppl   135.70
-----------------------------------------------------------------------------------------
| end of epoch   3 | time: 194.52s | valid loss  5.12 | valid ppl   166.79
-----------------------------------------------------------------------------------------
| epoch   4 |   500/15983 batches | lr 7.00 | ms/batch  4.14 | loss  4.95 | ppl   141.10
| epoch   4 |  1000/15983 batches | lr 7.00 | ms/batch  5.42 | loss  4.95 | ppl   141.34
| epoch   4 |  1500/15983 batches | lr 7.00 | ms/batch  4.78 | loss  4.96 | ppl   143.29
| epoch   4 |  2000/15983 batches | lr 7.00 | ms/batch  4.78 | loss  4.91 | ppl   134.97
| epoch   4 |  2500/15983 batches | lr 7.00 | ms/batch  3.93 | loss  4.89 | ppl   133.47
| epoch   4 |  3000/15983 batches | lr 7.00 | ms/batch  4.77 | loss  4.93 | ppl   138.21
| epoch   4 |  3500/15983 batches | lr 7.00 | ms/batch  4.75 | loss  4.94 | ppl   140.25
| epoch   4 |  4000/15983 batches | lr 7.00 | ms/batch  3.93 | loss  4.93 | ppl   138.90
